listing_id,price,nbhood_full,host_name,last_review,description,room_type
63320,36 dollars,"Staten Island, Tompkinsville",Lissette,July 02 2019,D Private Che@p Room 2 Explore NYC,Private room
63360,99 dollars,"Queens, Astoria",Dennis & Naoko,June 24 2019,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt
63546,39 dollars,"Brooklyn, Kensington",Antonín,May 16 2019,Large and Cozy Private Bedroom,Private room
63610,105 dollars,"Bronx, Eastchester",Vie,June 27 2019,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt
63657,135 dollars,"Brooklyn, Bedford-Stuyvesant",Renée,June 25 2019,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
63693,390 dollars,"Manhattan, East Village",Olivia,June 19 2019,Cottage in the Village,ENTIRE HOME/APT
64000,60 dollars,"Brooklyn, Williamsburg",Kristian & Di,January 07 2019,Williamsburg near soho. / loftbed,Private room
64107,100 dollars,"Brooklyn, Crown Heights",Niya,June 24 2019,BROOKLYN  STUDIO APARTMENT,Private room
64277,70 dollars,"Brooklyn, Bedford-Stuyvesant",Helene,January 02 2019,BEDROOM2 FOR RENT  10min from Manh,PRIVATE ROOM
64314,110 dollars,"Brooklyn, Crown Heights",Debbie,May 26 2019,cozy bedroom in lovely garden apt,private room
64365,60 dollars,"Brooklyn, Crown Heights",Anthony,June 27 2019,Crown Heights Garden Apt.,private room
64707,90 dollars,"Manhattan, Little Italy",Tilly,January 02 2019,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt
64837,68 dollars,"Manhattan, East Village",Edward,June 23 2019,ENJOY Downtown NYC!!,private room
65019,115 dollars,"Manhattan, Upper West Side",Claire,July 06 2019,Charming UWS Treehouse Apt,Entire home/apt
65268,75 dollars,"Brooklyn, Bedford-Stuyvesant",Juhli,January 05 2019,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room
65562,129 dollars,"Manhattan, East Village",Mary D,January 03 2019,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt
65615,130 dollars,"Brooklyn, Williamsburg",Valerie,June 29 2019,Farmhouse Apartment in Williamsburg,Entire home/apt
65660,95 dollars,"Brooklyn, Williamsburg",Larissa,July 07 2019,Bright+Spacious Williamsburg Abode!,Entire home/apt
65813,75 dollars,"Manhattan, Harlem",Eric,January 02 2019,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",PRIVATE ROOM
66008,190 dollars,"Brooklyn, Carroll Gardens",Melissa,July 01 2019,CHARMING CARROLL GARDENS APT.,Entire home/apt
66026,49 dollars,"Brooklyn, Crown Heights",Alex,June 30 2019,Private Bedroom Brownstone Brooklyn,Private room
66251,212 dollars,"Manhattan, East Village",Samir,June 25 2019,East Village Loft with Piano & Patio,Entire home/apt
66275,95 dollars,"Manhattan, Lower East Side",Tony,June 23 2019,Lower East Side Magic Room,Private room
66451,140 dollars,"Brooklyn, Williamsburg",Luis Fernando,February 16 2019,**Fantastic Williamsburg Apt**,entire home/apt
66718,135 dollars,"Manhattan, Harlem",Henning,June 23 2019,West Harlem Home Base - Eco-Apt.,entire home/apt
66741,150 dollars,"Brooklyn, Park Slope",Stefano,June 23 2019,Charming Garden Apt in Park Slope,Entire home/apt
66974,190 dollars,"Brooklyn, Gowanus",Jana,July 01 2019,"Lovely, Modern, Garden Apartment",Entire home/apt
67288,124 dollars,"Manhattan, East Harlem",Per,June 15 2019,Central Park 1BR sunny condo,Entire home/apt
67299,135 dollars,"Brooklyn, Williamsburg",Adrienne,May 06 2019,Cozy Garden Apartment  in Williamsburg,Entire home/apt
67397,122 dollars,"Manhattan, Morningside Heights",Elise,June 22 2019,SoHa comfort-by NW Central Park!,Private room
68099,109 dollars,"Manhattan, Upper West Side",Deda,June 25 2019,Cozy room in Upper West Side,Private room
68403,145 dollars,"Brooklyn, Bedford-Stuyvesant",Naimah,June 24 2019,The Cozy Brownstone Inn (discount)!,entire home/apt
68735,195 dollars,"Manhattan, Upper West Side",Violetta,June 13 2019,Prewar Penthouse w Private Terrace,ENTIRE HOME/APT
68765,250 dollars,"Brooklyn, Carroll Gardens",Jenna,June 27 2019,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt
68974,575 dollars,"Manhattan, Little Italy",Alicia,June 20 2019,Unique spacious loft on the Bowery,ENTIRE HOME/APT
69894,150 dollars,"Manhattan, Upper West Side",Silvia,June 11 2019,"Nice renovated apt, prime location!",Entire home/apt
69921,70 dollars,"Brooklyn, Bushwick",Joab,June 29 2019,Brooklyn Writer's Nook,Private room
70095,90 dollars,"Manhattan, Inwood",Mary And Geoff,June 30 2019,Private Bedroom in Large NYC Apartment,Private room
70128,65 dollars,"Manhattan, East Village",Eyal,January 10 2019,"Large, Sunny Room East Village NYC",private room
70609,500 dollars,"Manhattan, East Village",Bruce,June 16 2019,Great Large 3 BR/2 Bath Duplex with Private Patio!,ENTIRE HOME/APT
71010,250 dollars,"Manhattan, Washington Heights",Kurt,May 24 2019,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,125 dollars,"Manhattan, Chinatown",Jennifer,June 17 2019,Bright and lovely 1 bdrm apt in LES,Entire home/apt
71366,200 dollars,"Manhattan, West Village",Ruperto,June 25 2019,Beautiful One Bed West Village - 4 Month Special,Entire home/apt
